"","ID","sentences","nchar"
"5504","doc 7603","alcohol still king hill would heroin methamphetamine",97
"5505","doc 7604","couple general trends would people coming treatment back early nineties still thought single substance primary single substance just drink",218
"5506","doc 7605","primary thing cannabis primary thing cocaine",71
"5507","doc 7606","today mono drug user just doesn seem exist anymore",61
"5508","doc 7607","today stated preference something drug choice",84
"5509","doc 7608","preference continuum",40
"5510","doc 7609","prefer",46
"5511","doc 7610","question available",66
"5512","doc 7611","speedballing really popular late eighties kind went away come_back",121
"5513","doc 7612","speedballing heroin cocaine back today speedballing heroin methamphetamine",98
"5514","doc 7613","things notice time trends patterns flow come",94
"5515","doc 7614","alcohol still wears crown underneath changes",80
"5516","doc 7615","notable changes particular range",67
"5517","doc 7616","substance combination different demographic",63
"5518","doc 7617","pharmaceuticals heroin used forty fifty year range back eighties twenty twenty_four_years",147
"5519","doc 7618","first treatment episode individual identifies heroin pharmaceutical opioid half twenty twenty five_years",156
"5520","doc 7619","primary presenting client much younger",45
"5521","doc 7620","depending part state look specific concentrations heroin particular",106
"5522","doc 7621","around reservations particular",40
"5523","doc 7622","disproportionality american indians compared prevalence population vastly greater general population",138
"5524","doc 7623","even usage young white people increased still hasn proportionally reached native american population",140
"5525","doc 7624","look pure treatment numbers caucasian highest just everything eighty percent minnesotans identify white",153
"5526","doc 7625","state demographer statistics people self identify american indian percent population minnesota break drug choice pharmaceutical drugs versus heroin versus methamphetamine even general treatment numbers generally speaking control incidents thousand research epidemiology ways demonstrate prevalence something given population make level playing field",493
"5527","doc 7626","incidents hundred incidents thousand just general",82
"5528","doc 7627","treatment admissions substance_abuse american indians eight thousand versus races combined little thousand",174
"5529","doc 7628","heroin methamphetamine opiates goes anywhere eight fifteen thousand versus races combined",139
"5530","doc 7629","hugely disproportionate overrepresentation opiates methamphetamine people self identify american indian versus races minnesota",165
"5531","doc 7631","played population demographics self identified american indian geography minnesota",121
"5532","doc 7632","maps darker areas almost exlusively around reservations",85
"5533","doc 7633","exception hennepin county immediately contiguous reservation however large percentage american indians around phillips little_earth area",211
"5534","doc 7634","back said started 2001",78
"5535","doc 7635","describe work word opioid title",93
"5536","doc 7636","kind carry titles",40
"5537","doc 7637","public union principal planner",50
"5538","doc 7638","technical classification according union",62
"5539","doc 7639","insular duties carried since started state opioid treatment authority used called state methadone authority changed title four_years",197
"5540","doc 7640","change that used methadone treatment programs expanded medications besides just methadone",136
"5541","doc 7641","methadone buprenorphine called acronym vivitrol",92
"5542","doc 7642","wanted expand title inclusive rather just identifying particular medication methadone",116
"5543","doc 7643","identify problem medication used",69
"5544","doc 7644","better descriptor problem solution like word solution intervention instead just targeting particular thing",149
"5545","doc 7645","like word solution well view addiction whatever substance happens multifactoral issue whatever want call disease disorder maladaptive coping skill",211
"5546","doc 7646","schools thought philosophies",65
"5547","doc 7647","think professional agency solution",68
"5548","doc 7650","addiction pill solve resolve everything",63
"5549","doc 7651","look addiction today world talk substance disorder changes diagnostic statistics manual",179
"5550","doc 7652","look current edition specified moderate severe symptom constellations certain numbers mean mild moderate severe",189
"5551","doc 7653","degree volition involved",46
"5552","doc 7654","passive exposure something qualify addiction",59
"5553","doc 7655","somebody intoxication inhalant work industry volitional effort part concentrate passive exposure inhaled sewer hallucinated they addict sense fetus born neonatal abstinence withdrawal syndrome gestational exposure child baby fetus recognized withdrawal syndrome baby addict volitional choice",507
"5554","doc 7656","used baby board baby parent compound metabolite versus volitional choice going purchasing using stuff_like",180
"5555","doc 7659","here seen state least opioid treatment program sota state opioid treatment authority",180
"5556","doc 7660","forty eight right scattered throughout country",70
"5557","doc 7661","part sota role work between state federal agencies regulate opioid treatment programisswe folks knit stuff together",182
"5558","doc 7662","minnesota right seventeen opioid treatment programissone residential sixteen outpatient",118
"5559","doc 7663","licensed regulated variety different agencies state federal",89
"5560","doc 7664","opioid treatment programs mean call methadone treatment clinics used referred methadone programiss regulate them function between describe",239
"5561","doc 7665","actual regulatory authority goes around tries knit everything together",125
"5562","doc 7666","state federal level requirements things explains knits everything together",121
"5563","doc 7668","division licensing enforce",42
"5564","doc 7669","registered narcotics treatment program enforce",85
"5565","doc 7670","accreditation body like unclear",54
"5566","doc 7671","runs around knits together",58
"5567","doc 7673","seen change said four_years name changed happening that difference methadone programs couple noticeable changes clientele served method service delivery",287
"5568","doc 7674","clientele served back conversation twenty years almost exclusively heroin addicts",117
"5569","doc 7675","didn often find pharmaceutical opioid addict",52
"5570","doc 7676","today pharmaceutical opioid addicts",54
"5571","doc 7677","today world folks coming using heroin folks coming four five_years using pharmaceutical opioids",165
"5572","doc 7678","started vicodin percodan percocet either result legitimate medical etiology sprain break tear substance time converted heroin",207
"5573","doc 7679","couple reasons",39
"5574","doc 7680","changes scheduling pharmaceuticals",61
"5575","doc 7681","examination individual practitioners larger chains clinics hospitals around prescriptive practices",135
"5576","doc 7682","easy prescriptive opioids used",65
"5577","doc 7683","pool people active addiction opioid source starts diminish come more stronger cheaper",183
"5578","doc 7684","migration substance",36
"5579","doc 7685","change patient profile",40
"5580","doc 7686","used forties fifties twenty twenty_four year olds",79
"5581","doc 7687","gender changed little much",47
"5582","doc 7688","vast discongruence racial breakdowns",55
"5583","doc 7689","used primarily caucasian black",48
"5584","doc 7692","treatment intervention standpoint methadone laam original approved medications used",115
"5585","doc 7693","laam levacetylmethadate",42
"5586","doc 7695","concern causing cardiac arrhythmia called prolongation",76
"5587","doc 7696","gone find anymore",40
"5588","doc 7697","left methadone sole pharmaceutical time",57
"5589","doc 7698","methadone buprenorphine products like suboxone subutex different formulations",118
"5590","doc 7699","tablets strips cetera",36
"5591","doc 7700","vivitrol injectible",45
"5592","doc 7702","part desire change name state methadone authority state opioid treatment authority reflection changes drug choice primary substance_abuse longer almost exclusively heroin pharmaceutical pills well treatment intervention aimed solely methadone methadone buprenorphine products whatever next intervention pharmaceutical happens",448
"5593","doc 7703","feeling treatment changed terms twelve_step model seventies eighties seems methadone clinics people totally",226
"5594","doc 7704","huge stigma still around methadone",45
"5595","doc 7705","tell seen change think medication assisted treatment today going change acuity patients well clients would well demographics geographic areas",283
"5596","doc 7706","used heroin primarily found large major metropolitan areas",80
"5597","doc 7707","minneapolis saintpaul duluth rochester",61
"5598","doc 7708","maps indicate everywhere",43
"5599","doc 7709","just city drug anymore",39
"5600","doc 7710","along responsive changes system",65
"5601","doc 7711","delivery substance_abuse treatment",44
"5602","doc 7712","back mentality zeitgeist early eighties everyone went detox twenty eight resident care months halfway home didn work wasn system wasn responsive needs weren motivated hadn rock bottom",326
"5603","doc 7713","responsibility client",44
"5604","doc 7714","back accepted standard things_like seat",74
"5605","doc 7715","chair circle just pepper statements questions broke cried rock bottom",146
"5606","doc 7716","rebuild type methodology",60
"5607","doc 7717","remember names therapisaintthat came that just searched minnesota model seat find agencies today believe kind methodology",215
"5608","doc 7719","real awakening today world think referred dual diagnosis occurring disorder",130
"5609","doc 7721","work adjunct faculty graduate school degree master confirmant well certification program",154
"5610","doc 7722","real awakening idea aren just addict just mental_health issues",118
"5611","doc 7724","often play interlaced",49
"5612","doc 7725","part awakening change awareness clients coming today acute used",119
"5613","doc 7726","minnesota called sixth dimension model",62
"5614","doc 7727","modification american society addiction medicine patient placement criteria",95
"5615","doc 7728","different dimension zero four severity acuity rating",87
"5616","doc 7729","people coming system today simply acute used",78
"5617","doc 7730","younger severely affected impacted younger ages used",112
"5618","doc 7731","purity drug",53
"5619","doc 7732","social nature heroin particular",70
"5620","doc 7733","look different drugs different culture built around",74
"5621","doc 7734","heroin particular community drug",48
"5622","doc 7735","people individually shoot heroin also groups vein people marijuana part culture marijuana fire pass around room versus tobacco cigarettes",259
"5623","doc 7736","system become aware responsive acuity individual clients coming",110
"5624","doc 7737","piece acuity drug itself behavioral correlates come along",111
"5625","doc 7738","increase mental_health symptomology",50
"5626","doc 7739","reference things_like anxiety disorder induced opiate withdrawal period time mental_health symptom constellations product intoxication withdrawal drug",247
"5627","doc 7740","often respond medications",49
"5628","doc 7741","someone comes emergency room general medical care looks like generalized anxiety disorder gold standard medicine generalized anxiety disorder anxiolytic medication like alprazolam phenazepam treat anxiety",272
"5629","doc 7742","addict withdrawal show symptom constellation looks like medication going receive intent practitioner",187
"5630","doc 7744","that training tells give addict modulate withdrawal",106
"5631","doc 7745","start feel normal cycle continues",55
"5632","doc 7746","opioids increase secondary complications come along",97
"5633","doc 7748","additional potential addiction anxiolytic medications like alprazolam phenazepam",120
"5634","doc 7749","large incidence blood borne pathogens heroin addicts particular route administration needles behavior engage product byproduct addictive nature addictive drug",243
"5635","doc 7750","hepatitis things_like",38
"5636","doc 7751","mary raan rural aids action network speak directly",72
"5637","doc 7752","statistics numbers",50
"5638","doc 7753","talking dimension model",51
"5639","doc 7754","send stuff",38
"5640","doc 7755","standardized method assessment substance_abuse treatment minnesota number years",131
"5641","doc 7756","different dimentions look people wholistically",70
"5642","doc 7757","just drug often start using",92
"5643","doc 7758","illustration dimension intoxication withdrawal",63
"5644","doc 7760","zero least impact four severe concern",47
"5645","doc 7761","dimension look intoxication withdrawal",53
"5646","doc 7762","look dimension biomedical",36
"5647","doc 7763","individual traumatic brain injury affect treatment also treatment services delivered",157
"5648","doc 7764","substance_abuse treatment especially minnesota done minnesota model talk steps five third week family week used fairly academically driven method service delivery presupposed level cognitive ability part client",362
"5649","doc 7765","come mulitple generations stream know fasd fetal alcohol spectrum disorder neuroplasticity things affect brain brain responds things take someone active heroin addict last five_years assume going able engage fairly literature based experience reading twelve twelve schools models book completing work books steps five span twenty eight days pumping delotive every hours last years those discongruous",664
"5650","doc 7767","individual client fall behind assignments done time depending sensitivity staff seen resistant treatment surrendering",200
"5651","doc 7769","clients frustrated",38
"5652","doc 7770","washed programiss back streets",80
"5653","doc 7771","different dimension model appear eight years started minnesota",143
"5654","doc 7772","leader alcohol_drug abuse division",81
"5655","doc 7773","based american society addiction medicine model",65
"5656","doc 7774","alcohol_drug abuse division work ones drove idea accepting minnesota ized version",140
"5657","doc 7775","heard rule assessment tool rule assessment tool uses dimension model",104
"5658","doc 7776","somebody rule done rating dimensions severity rating four",149
"5659","doc 7778","that someone medicaid need ninety days thirty days",78
"5660","doc 7779","look whole picture look whole picture",71
"5661","doc 7780","determinate length time placement play role determining level care type care",148
"5662","doc 7781","somebody looking opioid treatment program particular heroin taken account process",126
"5663","doc 7782","someone traumatic brain injury dimension taken account",89
"5664","doc 7783","somebody homeless recovery environment dimension taken account",97
"5665","doc 7784","whole placement criteria goes outpatient goes residential care stuff_like based assessment",136
"5666","doc 7785","rule tool also mental_health screening built",78
"5667","doc 7787","substance_abuse treatment today think looked holistically used",90
"5668","doc 7789","addiction medical problemissyou addiction mental_health problemissit chicken",139
"5669","doc 7790","fused integrated occuring aspect",52
"5670","doc 7791","think greater sensitivity",50
"5671","doc 7792","eighties hear people mental_health problems just away quit using",111
"5672","doc 7793","doesn necessarily work quite cleanly",46
"5673","doc 7794","resolved mental_health problems addiction magically stop",82
"5674","doc 7796","much greater awareness brain function scans tomography things_like",110
"5675","doc 7797","sense greater sensitivity just cleanly that fusion together",133
"5676","doc 7798","understand completely interacts",60
"5677","doc 7799","awareness complicated really",58
"5678","doc 7801","greater awareness complexity",46
"5679","doc 7802","complexity individuals delivery treatment needs just cookie cutter",96
"5680","doc 7803","just detox just twenty eight days residential just months halfway home",104
"5681","doc 7804","program solution everyone every time every place everywhere",89
"5682","doc 7805","flexible individualized treatment model",69
"5683","doc 7806","thoughts schedules methadone heroin regulation chance downgraded expanded sure mean downgraded",200
"5684","doc 7807","methadone schedule buprenorphine schedule three",69
"5685","doc 7808","right methadone highly regulated",49
"5686","doc 7809","certain places",36
"5687","doc 7810","changing methadone programs becoming less stigmatized still stigmatizing opiate treatment programissby methadone schedule",176
"5688","doc 7811","buprenorphine products schedule threes",42
"5689","doc 7812","buprenorphine little different used opiate treatment program individual practitioners training additional registration stuff also obot office based opioid treatment",237
"5690","doc 7813","part buprenorphine introduction drug addiction treatment 2000 make flexible individual practitioners opposed program",183
"5691","doc 7814","methadone programisswhether methadone buprenorphine program still seen many_people quote unquote harm_reduction",142
"5692","doc 7815","eighties done everything just palliative care",90
"5693","doc 7816","going forever thing left offer everything else failed",115
"5694","doc 7817","that attitude today",42
"5695","doc 7818","individuals still belief",38
"5696","doc 7819","certain funding streams practitioners believe",57
"5697","doc 7820","certainly patient demographic changed just forty fifty year three green teeth failed abstinence based treatment fifteen times",174
"5698","doc 7821","people twenty twenty_four showing acceptable",83
"5699","doc 7822","real prevalent belief enrolled opiate treatment program eighties nineties life that simply true",173
"5700","doc 7823","gain data tells average admission discharge timeframe around year_half_years right",122
"5701","doc 7824","there number reasons play",55
"5702","doc 7825","funding sources people moving people simply chosing leave people sometimes removed program administratively separated discharged",159
"5703","doc 7826","bunch reasons fact matter stories hear people methadone programs thirty years small outliers besaintthat system works",221
"5704","doc 7827","people much older degree aging",68
"5705","doc 7828","back eighties looked average person methodone program back additional medical complications",154
"5706","doc 7829","that tremendously different",37
"5707","doc 7830","still people hepatitis insilulary secondary problemissbut difference fifty year cirrhotic liver hepatitis twenty year person doesn cirrhotic liver hepatitis system health care ability withstand function youth",359
"5708","doc 7831","forty years shooting smack versus year_half pharmaceutical opioids different people",110
"5709","doc 7832","medical compromising older person versus younger person older person going mortality sooner younger person just function physical decay decades versus months couple_years",244
"5710","doc 7833","seeing positive outcomes medication assisted treatment collecting data that people following clients period time state short answer",221
"5711","doc 7834","part depends define success",44
"5712","doc 7835","within people embrace continuum definition harm_reduction",95
"5713","doc 7836","people tell flavor harm_reduction individual continues come_back whether intermittent continued continue come_back form service",225
"5714","doc 7837","back chip says keep coming back long keep coming back long opportunity continued intervention that better nothing",172
"5715","doc 7838","move along line conservative interpretation harm_reduction tell success decreased amount heroin used stopped heroin still ocassionally smoke drink marijuana complete abstinance mood altering substances maybe exception tobacco caffeine",377
"5716","doc 7839","huge continuum along line",41
"5717","doc 7840","thirty forty years kind stop shop either completely clean minus tobacco caffeine active junkie",147
"5718","doc 7841","increasing complexity people coming mental_health stuff greater acceptance folks comorbid disorders psychotropic medications",196
"5719","doc 7842","long still find self help meetings around here tell psychotropic medication sober",158
"5720","doc 7843","methadone buprenorphine medication assisted therapy really sober",107
"5721","doc 7844","there nowhere else behavioral health surg type mentality applied",98
"5722","doc 7845","hold licensure drug_alcohol abuse counselor",54
"5723","doc 7846","also hold licensure lpcc licensed professional clinical counsellor mental_health professional state definition",137
"5724","doc 7847","working somebody heroin addict talk medication assited therapy talking primarily methadone buprenorphine products working someone active hallucinatory psychotic that seroquel typical antipsychotic nowhere treatment plan talk trading seroquel",372
"5725","doc 7848","nowhere your life much better keep taking seroquel talk folks bipolar disorder talk compliance medication stabilize mood withdrawal medication better",271
"5726","doc 7849","talk active addiction seem find",69
"5727","doc 7850","even within addiction bifurcation mentality",62
"5728","doc 7851","folks find completely acceptable somebody difficulty unable stop drinking antabuse disulfiram real behavioral modification trying address spiritual disorder",226
"5729","doc 7852","take disulfiram antabuse drink alcohol might noticable sideaffects like mouth loose stool stuff_like_that really nothing happens",194
"5730","doc 7853","take antabuse drink sicker hell puking that completely okay punished addiction versus taking opioid repalcement medication normal therapeutic dose just normal",258
"5731","doc 7854","high withdrawal",44
"5732","doc 7856","reason talk titrading weaning medication know_really want sober still taking medicine",210
"5733","doc 7857","somehow want talk anything_else",64
"5734","doc 7858","came today checked diabetes profile absolute neutrofil count fourteen right glucose close hundred really want insulin kinds discussions forms health care",282
"5735","doc 7859","huge stigma huge problem",46
"5736","doc 7860","went zurich couple months director addiction medicine clinic needle parks zurich eighties many deaths much illness treated problem using medication basically eliminated",310
"5737","doc 7861","people heroin much anymore",46
"5738","doc 7862","just perspective really perceive just getting examples",116
"5739","doc 7863","near future change thinking attitudes around stuck hundred year opium junkie stereotype think couple ways give angles",231
"5740","doc 7864","back forty fifty years actually illegal treat addict opioid",93
"5741","doc 7865","treatment_center country federal narcotics farm unclear",93
"5742","doc 7867","doctors nyswander dole published landmark paper narcotic replacement methadone dolophine because long half life twenty_four thirty hours pharmacology able maintain addicts",298
"5743","doc 7868","shift away incarceration federal narcotics farm anywhere twenty days months either cure didn come_back",213
"5744","doc 7869","shift away idea methadone people somehow couldn reached anybody else",128
"5745","doc 7870","data drug addiction treatment 2000 buprenorphine volitional intentional destigmatize medication physician office versus going clinic",228
"5746","doc 7871","prior 2001 food drug administration still plays role much larger role regulation methadone programissunder rules never anymore twenty take home dose regardless amount time program",300
"5747","doc 7872","center substance_abuse treatment steps agency 2001 regulations laxed understanding",139
"5748","doc 7873","think best example idea never weeks take home medication going around stoned anyway versus idea getting people normal",233
"5749","doc 7874","eight point criteria take home doses among eight point criteria among treatment plans today going school going work stuff normal people just clinic everyday dose",272
"5750","doc 7875","idea less less reliant clinic things_like engaged normal activities daily living stuff",159
"5751","doc 7876","making acceptable take home medications degree expectations flexible individual needs rather like_that",206
"5752","doc 7877","think landmarks show days federal narcotics farm today greater empathy understanding expanse complexity individual client patient well flexibility required meet individual",279
"5753","doc 7878","just inner city drug anymore",40
"5754","doc 7879","just dope fiend anymore",41
"5755","doc 7880","twenty year girl eagan shooting smack versus sixty year hmong upper frogtown different people",150
"5756","doc 7881","drug dynamics cultures expectations differnt",91
"5757","doc 7883","twenty miles apart",43
"5758","doc 7886","vein competing interests",45
"5759","doc 7887","look nature enforcement authority looks scheduling regulation enforcement standpoint versus issued license rule soft science treatment standpoint",233
"5760","doc 7888","rule chemical_dependency licensure minnesota",58
"5761","doc 7889","different agencies competing interesaintin sense regulation sense funding",111
"5762","doc 7890","thing never control piece research funded",82
"5763","doc 7891","people fund studies answers want",56
"5764","doc 7892","answers want stop funding publish",78
"5765","doc 7893","changes coming pipe treatment minnesota yesterday president trump issued executive order establishing opioid commission",170
"5766","doc 7895","commission variety individuals titles",63
"5767","doc 7896","determined interesting make text executive order involving secretary defense",141
"5768","doc 7897","certainly demonstrated change federal narcotics farm stuff today",101
"5769","doc 7898","policies primarily created politics politics gives changes ebbs flows",99
"5770","doc 7899","sideline look cannabis right continued schedule along here definition highly addictive medical value",165
"5771","doc 7900","large number states medical cannabis laws thirty eight believe recreational cannabis laws",153
"5772","doc 7901","discongruency federal scheudling individual states recognizing medical cannabis like minnesota does recreational cannabis like colorado",176
"5773","doc 7902","going happen current federal administration state sovereignty medicinal recreational cannabis determined",151
"5774","doc 7903","people theories guesses knows",46
"5775","doc 7904","awakening awareness going_just last fifteen years greater sensitivity occuring disorders interlacing substance_abuse mental_health introducation increasing acceptance medication legitimate intervention necessarily solution part equation gives hope continue",377
"5776","doc 7905","even_though think pervasive trend pockets greater acceptance pockets deeper resistance",123
"5777","doc 7906","still folks absolutely delieve addicts withdrawal suffer",94
"5778","doc 7907","shouldn suffer somehow going make reevaluate",125
"5779","doc 7908","simple nobody ever second mind crushing hang undergraduate",109
"5780","doc 7909","first_time wrap head around toilet guts never drink",110
"5781","doc 7911","there addict booth career",38
"5782","doc 7912","people choose whether prescription pharmaceuticals whether heroin whatever drug method condition comes play prominence opinion treated",222
"5783","doc 7913","stigmatize blame point fingers group group simply true fifty year carnie green teeth body mask rock anymore",193
"5784","doc 7915","know ever",37
"5785","doc 7916","right people image",38
"5786","doc 7917","people image stereotypic heroin user think keith richards",85
"5787","doc 7918","think twenty year undergraduate university minnesota",96
"5788","doc 7919","adjunct facutly river falls teach addiction class graduate program voice student newspaper five_years headlines voice found dead dormitories still needle",289
"5789","doc 7920","young novice user really narcotically naive ahold load idea actual strength",134
"5790","doc 7921","unintentional hydrogenic overdose didn_know",66
"5791","doc 7922","that much overdose younger people",55
"5792","doc 7923","look common profile heroin addicts opiate addicts right bifuracte pretty cleanly young ones older guys saying guys term mean older population",209
"5793","doc 7924","older population people just",54
"5794","doc 7925","know live survive know come down take care groups",109
"5795","doc 7926","young narcotically naive novice kids think they superman bullet proof idea stuff just bought handyman across street fentanyl kill stone dead",221
"5796","doc 7927","know solulate fire hydrogenic overdose",102
"5797","doc 7929","stuff saying pharmaceuticals made younger generation access opiates adderall they aren frightened drugs accustomed",210
"5798","doc 7930","belief heroin just thing",53
"5799","doc 7931","pharmaceutical culture live increased nonchalance around danger seems nonchalance",151
"5800","doc 7932","younger people today sixteen twenty_four_twenty five always kind petrie dish generation culture",125
"5801","doc 7933","gone grunge kids kids social media twitter facebook generation",132
"5802","doc 7934","course line huge vast influx various medications greater willingness pharmaceutical intervention good",159
"5803","doc 7935","along acceptance pharmaceutical intervention addict comes pharmaceutical intervention greater perponderance things_like adhd",161
"5804","doc 7936","back swiftness diagnose someone adhd ritilin thing around",117
"5805","doc 7937","adderall everything else",43
"5806","doc 7938","there greater buffet line medicine intervention",54
"5807","doc 7939","advertisements television even watch commercial anymore",81
"5808","doc 7940","look magazines large scale full glossy",54
"5809","doc 7941","there work done companies",50
"5810","doc 7943","also live culture whose line point view seems fast burn faster bigger badder harder stronger whether talking bycinopril high blood pressure colesterol viagra single pack",285
"5811","doc 7944","everything today flooded pharmaceuticals",46
"5812","doc 7945","went energy drink craze pretty targetted adolescents specifically male adolescents",110
"5813","doc 7946","couldn argue drinks sort gateway things folks argue",125
"5814","doc 7947","caffeine categories current addicitive disorder",80
"5815","doc 7948","think there hope continued standard acceptance individuals substance_abuse mental_health disorders",129
"5816","doc 7949","think there opportuity continued work medication well",73
"5817","doc 7950","think medication exclusively answer",50
"5818","doc 7951","think combined effort just compelxity client need increasing responsiveness treatment system delivery",153
"5819","doc 7952","like_said control funds research always control social outcome political decisions",137
"5820","doc 7953","makes think prevention education",48
"5821","doc 7954","role that office",54
"5822","doc 7955","alcohol_drug abuse division prevention section",72
"5823","doc 7958","drug abuse resistant education program willing talk specifically dangers public school systems alcohol_drug abuse division directly fund",199
"5824","doc 7959","direct federal funding",54
"5825","doc 7961","money available fact minnesota recipients what called strategic prevention framework around prescrition opioids",153
"5826","doc 7962","division upstairs receive money",62
"5827","doc 7963","going implementing part prevention strategy framework year",94
"5828","doc 7964","treatment service delivery model treatment prevention",87
"5829","doc 7965","talk prevention trying prevent something already happens",87
"5830","doc 7966","quantify measure negative definition difficult impossible versus look numbers stats figures teatment admissions stuff liek data gathering fact",226
"5831","doc 7967","comes treatment kinds questions compile stats numbers versus prevention prevent numbers ever happening industry treatment",215
"5832","doc 7968","funding revenue created",61
"5833","doc 7969","talk revenue prevention trying prevent damage",72
"5834","doc 7970","there much money prevention there compare treatment",85
"5835","doc 7971","anything_else thing remind saying anything official representative department human services",157
"5836","doc 7972","there truly separate role state opioid treatment authority discussion here just want record hold faculty positions adler river falls speaking multi layered role stuff minnesota also adler graduate school university wisconsin river falls course work teach education young clinicians especially adler program sensitivity substance disorder mental_health fused individual adlerian concept",606
"5837","doc 7973","river falls guidance counselors psychologists helping assisting educating future professionals sensitive flexible increase acuity people coming",202
"5838","doc 7974","volume medical knowledge seems double every couple_years increases everything brain imaging epigenetics everything else",157
"5839","doc 7975","simply learn faster rate",46
"5840","doc 7976","learn hopefully greater sensitivity given complexity need become flexible response folks",179
"5841","doc 7977","lock days detox throw twenty eight days residential care doesn work blame failure",148
"5842","doc 7979","michael neill narrator sullivan interviewer january 2017 home sullivan minneapolis minnesota michael neill sullivan zachary mallet insurance companies know",206
"5843","doc 7980","spending thirty grand month something costing seven thousand month outcomes same hazelden even everything bare bones right",212
"5844","doc 7982","wish well first thing need state name give_permission record interview michael neill january 19th",174
"5845","doc 7983","give sullivan permission record interview",55
"5846","doc 7984","sitting home 1942 irving avenue south",55
"5847","doc 7988","mike know_going best presume conversation",89
"5848","doc 7989","tell things already told",52
"5849","doc 7990","questions make_sure best make clear purposes recording",95
"5850","doc 7991","parents start childhood early adulthood early parenting experiences",130
"5851","doc 7992","basically want tell condensed version life keeping mind addiction issues kind",133
"5852","doc 7994","knew youngstown ohio going future large family",90
"5853","doc 7995","twelfth child born catholic parents",48
"5854","doc 7996","just foresight going future family took risk moved southern california many_people time",191
"5855","doc 7997","people people_like wants live awful desert there trees moved",143
"5856","doc 7998","honestly growing orange county 1960s dreamy",68
"5857","doc 8000","remember lolling around floor sunny windows",55
"5858","doc 8002","went good catholic school good experience",60
"5859","doc 8005","learned control like",42
"5860","doc 8006","grew lots brothers sisters along well loved dearly lots things",115
"5861","doc 8008","just tons friends ever since kindergarten",50
"5862","doc 8011","spend summers beach easy",54
"5863","doc 8012","never anything pretty_much middle class function",58
"5864","doc 8013","kids went school definitely challenges",91
"5865","doc 8015","kids want come house",64
"5866","doc 8016","started notice older lots older brothers sisters twenty years older",111
"5867","doc 8018","moving sixteen kids house",76
"5868","doc 8019","house refuge older brothers sisters friends time spent time house",162
"5869","doc 8021","women like sisters around much",74
"5870","doc 8023","know came really tough houses house haven",79
"5871","doc 8024","gracious giving loving person",44
"5872","doc 8026","holidays anywhere forty seventy people house holidays",90
"5873","doc 8027","many older teenagers basically home good place",81
"5874","doc 8028","gifts cook talk",76
"5875","doc 8029","counsel like healthy adult access",82
"5876","doc 8030","started become aware later actually really admired",82
"5877","doc 8031","people looked family that lucky stuff",72
"5878","doc 8032","definitely culture drugs alcohol family",65
"5879","doc 8034","drink nightly home work drink little dinner",97
"5880","doc 8035","drink dinner maybe another drink dinner maybe read paper",137
"5881","doc 8037","little wine friday night",68
"5882","doc 8038","older brothers sisters drank",38
"5883","doc 8039","",44
"5884","doc 8040","finish beer night",61
"5885","doc 8041","others less beers",40
"5886","doc 8042","definitely young started drunks house",61
"5887","doc 8043","either brothers sisters friends 1960s early lots marijuana lots alcohol doubt stuff going keen aware time",194
"5888","doc 8044","became attracted junior high_school",62
"5889","doc 8045","knew matter time going enter arena",69
"5890","doc 8046","sneaking drink wedding thing",57
"5891","doc 8047","thirteenth birthday smoked first_time sister",72
"5892","doc 8048","wait just wait",42
"5893","doc 8049","just_kind dark mysterious lovely away went",66
"5894","doc 8050","probably regrettable choice life using drugs drinking alcohol teenager",107
"5895","doc 8052","smoked pretty_much daily basis throughout high_school",68
"5896","doc 8053","drank pretty_much every weekend definitely excess",55
"5897","doc 8055","easily smartest kids just natural ability things easy",78
"5898","doc 8056","test everything finish assignments stay class",98
"5899","doc 8058","really wasted really_good opportunities interested partying",96
"5900","doc 8060","college just little junior college",56
"5901","doc 8062","liked make money",37
"5902","doc 8064","paying attention always challenge",46
"5903","doc 8067","cocaine much early twenties",52
"5904","doc 8068","never stole anything like spent much money lied",94
"5905","doc 8069","like always justify",49
"5906","doc 8071","friends always lying time lives",63
"5907","doc 8072","free tonight lying much money spending stealing",140
"5908","doc 8073","justify people this free tonight deal helped find people just knew everybody lying knew lying like",245
"5909","doc 8075","real problem alcohol went cocaine high amphetamine high neutralize",124
"5910","doc 8076","hangovers like three days cocaine binges alcohol",81
"5911","doc 8078","twenties maybe frontal cortex came along twenty three horrible experience cocaine weekend just stopped cold turkey",169
"5912","doc 8079","just_said done that knew enough stay away people used",94
"5913","doc 8080","pretty soon used okay",53
"5914","doc 8081","still drank alcohol just weird",49
"5915","doc 8082","brain changing just less interested partying like_that just",86
"5916","doc 8083","lucky people grew dead locked institutionalized basically still live parents house fifties",166
"5917","doc 8085","love guys dearly just knew around",66
"5918","doc 8087","business world doing promotional marketing",95
"5919","doc 8088","going around country anytime company going introduce product market giant assault peoria whatever",151
"5920","doc 8089","coupons bill boards newspaper fliers coupons",74
"5921","doc 8090","show samplers supermarkets",50
"5922","doc 8091","sampling yogurt bacon paper towels nestle quick thousands thousands stores across entire midwesaintit here market anywhere weeks weeks time",264
"5923","doc 8092","four weeks paso texas longest summer life",62
"5924","doc 8096","training",38
"5925","doc 8098","liked development people development",43
"5926","doc 8099","part like mostly bosses just crappy",73
"5927","doc 8100","just good leaders",42
"5928","doc 8101","really smart business really matter",75
"5929","doc 8102","ones like",49
"5930","doc 8104","triggering event",36
